id	ean	category	quantity	notsent	name	cnName	lastWeek
614	4250755316833	BM-Tavolum	-1	1	Tavolum Anthrazit 750*500*50	WAT02 G 750*500*50	5|0|0|0|0
615	4250755316857	BM-Tavolum	0	0	Tavolum Anthrazit 1200*500*50	WAT02 G 1200*500*50	0|0|0|0|0
616	4250755316925	BM-Tavolum	0	0	Tavolum Weiss 1500*500*50	WAT02 W 1500*500*50	0|0|0|0|0
618	4250755336046	DS-Ablauf	51	15	PU004 mit überlauf	PU04	357|118|61|32|6
621	4250755316840	BM-Tavolum	0	0	Tavolum Anthrazit 1000*500*50	WAT02 G 1000*500*50	0|0|0|0|0
622	4250755321509	Rav05_Tür	16	3	Ravenna05K Tür 80	MMD05 D+F 800	37|6|3|1|0
623	4250755321516	Rav05_Tür	13	9	Ravenna05K Tür 90	MMD05 D+F 900	102|31|16|7|1
624	4250755321523	Rav05_Tür	2	5	Ravenna05K Tür 100	MMD05 D+F 1000	63|11|3|1|0
625	4250755321530	Rav04/05_ST	21	4	Ravenna04K/05K Seiten 70	MMD04/05 F 700	23|4|2|0|0
626	4250755321554	Rav04/05_ST	18	12	Ravenna04K/05K Seiten 80	MMD04/05 F 800	80|23|15|5|2
627	4250755321547	Rav04/05_ST	28	6	Ravenna04K/05K Seiten 75	MMD04/05 F 750	38|16|7|3|0
628	4250755321561	Rav04/05_ST	37	8	Ravenna04K/05K Seiten 90	MMD04/05 F 900	134|41|12|6|2
629	4250755321578	Rav04/05_ST	8	6	Ravenna04K/05K Seiten 100	MMD04/05 F 1000	102|26|12|4|1
631	4250755342795	Rav17_ST	10	4	Ravenna17 Seiten 75	F560 F750	31|8|4|3|0
632	4250755342818	Rav17_ST	23	11	Ravenna17 Seiten 90	F560 F900	101|18|12|7|2
633	4250755342801	Rav17_ST	38	8	Ravenna17 Seiten 80	F560 F800	104|33|18|13|4
634	4250755342733	Rav17_Tür	14	11	Ravenna17 Tür 100	MMN04 D+F 1000	79|30|17|12|4
635	4250755342740	Rav17_Tür	22	2	Ravenna17 Tür 105/110	MMN04 D+F 1050/1100	43|6|3|2|1
636	4250755342757	Rav17_Tür	108	11	Ravenna17 Tür 115/120	MMN04 D+F 1150/1200	144|32|15|9|2
